Category,libraryId,Author,Title,Editor / translator,Publisher,Publication year,Edition,ISBN,Language,Reference URL
Esotericism,george-01,"George, Demetra","Ancient Astrology in Theory and Practice: A Manual of Traditional Techniques, Volume One: Assessing Planetary Condition",,,,,,en,
Esotericism,george-02,"George, Demetra","Ancient Astrology in Theory and Practice: A Manual of Traditional Techniques, Volume Two",,,,,,en,
Esotericism,godwin-01,"Godwin, Joscelyn",The Mystery of the Seven Vowels: In Theory and Practice,,Phanes Press,1991,,9780933999862,en,https://redwheelweiser.com/book/the-mystery-of-the-seven-vowels-9780933999862/
Esotericism,gurdjieff-01,"Gurdjieff, G. I.","Beelzebub's Tales to His Grandson: All and Everything, First Series (Compass)",,,,,,,
Esotericism,gurdjieff-02,"Gurdjieff, G. I.","Meetings with Remarkable Men: All and Everything, 2nd Series",,,,,,,
Esotericism,guenon-01,"Guénon, René",Initiation And Spiritual Realization,,,,,,,
Esotericism,guenon-02,"Guénon, René",Introduction to the Study of the Hindu Doctrines (Collected Works of Rene Guenon),,,,,,,
Esotericism,guenon-03,"Guénon, René",Man and His Becoming according to the Vedanta (Collected Works of Rene Guenon),,,,,,,
Esotericism,guenon-04,"Guénon, René",Perspectives on Initiation,"Wetmore, James Richard",Sophia Perennis et Universalis,,,9780900588419,en,https://www.amazon.com/dp/0900588411
Esotericism,guenon-05,"Guénon, René",The Esoterism of Dante,,,,,,,
Esotericism,guenon-06,"Guénon, René",The King of the World (Collected Works of Rene Guenon),,,,,,,
Esotericism,guenon-07,"Guénon, René",The Reign of Quantity and the Signs of the Times,,,,,,,
Esotericism,guenon-08,"Guénon, René",Traditional Forms and Cosmic Cycles (Collected Works of Rene Guenon),,,,,,,
Esotericism,hall-01,"Hall, Manly P.",The Secret Teachings of All Ages (Reader's Edition),,,,,,,
Esotericism,hand-01,"Hand, Robert",Horoscope Symbols,,Whitford Press,,,,en,
Esotericism,hand-02,"Hand, Robert",Planets in Composite: Analyzing Human Relationships,,Whitford Press,,,,en,
Esotericism,hand-03,"Hand, Robert",Planets in Transit: Life Cycles for Living,,Schiffer Publishing,2002,Expanded 2nd Edition,9780924608261,en,https://schifferbooks.com/products/planets-in-transit-r
Esotericism,heindel-01,"Heindel, Max",Simplified Scientific Astrology: A Complete Textbook on the Art of Erecting a Horoscope,,The Rosicrucian Fellowship,1919,,,en,https://en.wikisource.org/wiki/Simplified_Scientific_Astrology
Esotericism,honorius-01,Honorius of Thebes,The Sworn Book of Honorius: Liber Iuratus Honorii (Weiser Enochian Library),"Peterson, Joseph H. (translator and commentary)",Ibis Press,2016,,9780892542154,en,https://www.amazon.com/dp/0892542152
Esotericism,kremmerz-01,"Kremmerz, Giuliano",The Hermetic Science of Transformation: The Initiatic Path of Natural and Divine Magic,,,,,,,
Esotericism,lenain-01,"Lenain, L.",The Science of the Kabbalah,"Vaughan, Piers A. (translator)",,,,,en,
Esotericism,levenda-01,"Levenda, Peter",Sinister Forces II ―,,,,,,,
Esotericism,levenda-02,"Levenda, Peter",Sinister Forces III―,,,,,,,
Esotericism,levenda-03,"Levenda, Peter",Sinister Forces ―The Manson Secret: A Grimoire of American Political Witchcraft (Sinister Forces: A Grimoire of American Political Witchcraft,,,,,,,
Esotericism,mebes-01,"Mebes, G.O.",Tarot Majors,"Cowell, Charlotte Louise",Shin Publications,2020,,9781916336537,en,https://www.amazon.com/dp/1916336531
Esotericism,mebes-02,"Mebes, G.O.",Tarot Minors,"Cowell, Charlotte Louise",Shin Publications,2020,,9781916336513,en,https://www.amazon.com/dp/1916336515
Esotericism,mebes-03,"Mebes, G.O.",The Encyclopedia of Occultism: Hermetic Initiation Through the Major Arcana of the Tarot,"Pankratov, Yury",Aeon Books,2025,,9781801521918,en,https://www.amazon.com/dp/1801521913
Esotericism,mebes-04,"Mebes, G.O.",The Minor Arcana of the Tarot: As an Initiatory Path of Ethical Hermeticism,"Pankratov, Yury",Aeon Books,2026,,9781801522120,en,https://www.amazon.com/dp/180152212X
Esotericism,moore-01,"Moore, Thomas",The Planets Within,,,,,,,
Esotericism,norbu-01,"Norbu, Namkhai",Dream Yoga,,,,,,,
Esotericism,ossendowski-01,"Ossendowski, Ferdinand","Beasts, Men, and Gods",,,,,,,
Esotericism,ouspensky-01,"Ouspensky, P D",A New Model of the Universe,,,,,,,
Esotericism,ouspensky-02,"Ouspensky, P D",In Search of the Miraculous,,,,,,,
Esotericism,ouspensky-03,"Ouspensky, P D",The Fourth Way,,,,,,,
Esotericism,ouspensky-04,"Ouspensky, P D",The Psychology of Man’s Possible Evolution,,,,,,,
Esotericism,ouspensky-05,"Ouspensky, P. D.",Tertium Organum,,,,,,en,
Esotericism,pales-01,"Pales, Emil",Seven Archangels,,,,,,,
Esotericism,papus-01,"Papus, (Gérard Encausse)",Astrology for Initiates: Astrological Secrets of the Western Mystery Tradition,"Lehman, J. Lee (translator and introduction)",,,,,en,
Esotericism,papus-02,"Papus, (gérard Encausse)",Elementary Treatise on Practical Magic,,,,,,,
Esotericism,papus-03,"Papus, (Gérard Encausse)","Martinizm, Willermozism, Martinism & Freemasonry","Vaughan, Piers A. (translator)",,,,,en,
Esotericism,papus-04,"Papus, (Gérard Encausse)",The Divinatory Tarot,"Stockman, Beryl (translator)",Aeon Books,,,,en,
Esotericism,papus-05,"Papus, (Gérard Encausse)",The Qabalah: Secret Tradition of the West,,,,,,en,
Esotericism,papus-06,"Papus, (Gérard Encausse)",The Tarot of the Bohemians,,Dover,,,,en,
Esotericism,pelletier-01,"Pelletier, Robert",Planets in Aspect: Understanding Your Inner Dynamics,,Whitford Press,,,,en,
Esotericism,pseudo-majriti-01,Pseudo-Majriti (Maslama al-Qurtubi),Picatrix: A Medieval Treatise on Astral Magic,"Attrell, Dan (translator); Porreca, David (translator)",Pennsylvania State University Press,2019,Magic in History series,9780271082134,en,https://www.psupress.org/books/titles/978-0-271-08213-4.html
Esotericism,pseudo-majriti-02,Pseudo-Majriti (Maslama al-Qurtubi),"The Complete Picatrix: The Occult Classic of Astrological Magic, Liber Atratus Edition","Greer, John Michael (translator); Warnock, Christopher (translator)",Adocentyn Press,2011,Liber Atratus Edition,9781257767854,en,https://www.amazon.com/Complete-Picatrix-Classic-Astrological-Atratus/dp/1257767852
Esotericism,regardie-01,"Regardie, Israel",A Garden of Pomegranates: Skrying on the Tree of Life,"Cicero, Chic; Cicero, Sandra Tabatha (editors)",Llewellyn Publications,1995,Third Revised Edition,9781567181418,en,https://www.llewellyn.com/product.php?ean=9781567181418
Esotericism,roggemans-01,"Roggemans, Marcel",History of Martinism and the F.U.D.O.S.I.,"Bogaard, Milko",,,,,,
Esotericism,sadhu-01,"Sadhu, Mouni",Concentration a Guide to Mental Mastery,,,,,,,
Esotericism,sadhu-02,"Sadhu, Mouni",The Tarot: A Contemporary Course of the Quintessence of Hermetic Occultism,,Aeon Books,2023,reprint of 1962 George Allen and Unwin,9781801520232,en,https://www.aeonbooks.co.uk/
Esotericism,sadhu-03,"Sadhu, Mouni",Theurgy: The Art of Effective Worship,,Aeon Books,,,,en,
Esotericism,saint-martin-01,"Saint-Martin, Louis-Claude de",Man: His True Nature and Ministry,,,,,,en,
Esotericism,saint-martin-02,"Saint-Martin, Louis-Claude de","Natural Table: Natural Table of Correspondences Which Exist Between God, Man and the Universe","Vaughan, Piers A. (translator)",Rose Circle Publications,2018,First English Translation,9781947907034,en,https://www.harvard.com/book/9781947907034
Esotericism,saint-martin-03,"Saint-Martin, Louis-Claude de",Of Errors & Truth,,,,,,en,
Esotericism,saint-martin-04,"Saint-Martin, Louis-Claude De",The Man Of Desire,,,,,,,
Esotericism,saint-yves-d-alveydre-01,"Saint-Yves d'Alveydre, Marquis Alexandre",The Kingdom of Agarttha: A Journey into the Hollow Earth,,,,,,,
Esotericism,sasportas-01,"Sasportas, Howard",The Twelve Houses,,Whitford Press,,,,en,
Esotericism,scaligero-01,"Scaligero, Massimo",A Practical Manual of Meditation,,,,,,,
Esotericism,scaligero-02,"Scaligero, Massimo","A Treatise on Living Thinking: A Path beyond Western Philosophy, beyond Yoga, beyond Zen",,,,,,,
Esotericism,scaligero-03,"Scaligero, Massimo",The Light (La Luce): An Introduction to Creative Imagination,,,,,,,
Esotericism,scaligero-04,"Scaligero, Massimo",The Secrets of Space and Time,,,,,,,
Esotericism,schure-01,"Schuré, Édouard",The Great Initiates,,,,,,,
Esotericism,schwaller-de-lubicz-01,"Schwaller de Lubicz, R. A.",The Temple of Man (two volume set),,,,,,,
Esotericism,seabrook-01,"SEABROOK, WILLIAM B.","Adventures in Arabia: Among the Bedouins, Druses, Whirling Dervisches & Yezidee Devil Worshipers",,,,,,,
Esotericism,shmakov-01,"Shmakov, Vladimir",The Holy Book of Thoth: Great Arcana of the Tarot,,Shin Publications,2021,First Edition,9781916336568,en,https://alchemical-weddings.com/
Esotericism,shubin-01,"Shubin, Daniel H.",New Rosicrucians of Early Soviet Russia,,,,,,en,
